,Sig. Gen. Freq. (Hz),Measured Frequency,±,Uncertainty,Units,,Peak Current - No Core,±,Uncertainty,Units,,Peak Current - With Core,±,Uncertainty,Units,,% Error (Freq)
1,10,9.7656,±,0.6104,Hz,,0.101618,±,0.000466,A,,0.105066,±,0.000466,A,,2.3438
2,13,12.8174,±,0.6104,Hz,,0.123363,±,0.000466,A,,0.129296,±,0.000466,A,,1.4047
3,16,15.8691,±,0.6104,Hz,,0.143151,±,0.000466,A,,0.152066,±,0.000466,A,,0.8179
4,20,20.1416,±,0.6104,Hz,,0.164926,±,0.000466,A,,0.178781,±,0.000466,A,,0.7080
5,25,25.0244,±,0.6104,Hz,,0.187168,±,0.000466,A,,0.207453,±,0.000466,A,,0.0977
6,30,29.9072,±,0.6104,Hz,,0.205496,±,0.000466,A,,0.228234,±,0.000466,A,,0.3092
7,40,40.2832,±,0.6104,Hz,,0.230223,±,0.000466,A,,0.248519,±,0.000466,A,,0.7080
8,50,50.0488,±,0.6104,Hz,,0.244574,±,0.000466,A,,0.247525,±,0.000466,A,,0.0977
9,60,59.8145,±,0.6104,Hz,,0.254452,±,0.000497,A,,0.236156,±,0.000466,A,,0.3092
10,75,75.0732,±,0.6104,Hz,,0.262871,±,0.000497,A,,0.212423,±,0.000466,A,,0.0977
11,90,89.7217,±,0.6104,Hz,,0.265822,±,0.000466,A,,0.190647,±,0.000497,A,,0.3092
12,115,114.7461,±,0.6104,Hz,,0.264362,±,0.000466,A,,0.161447,±,0.000466,A,,0.2208
13,145,145.2637,±,0.6104,Hz,,0.257435,±,0.000497,A,,0.137714,±,0.000497,A,,0.1818
14,180,180.0537,±,0.6104,Hz,,0.247028,±,0.000497,A,,0.117430,±,0.000497,A,,0.0298
15,225,225.2197,±,0.6104,Hz,,0.230720,±,0.000466,A,,0.100127,±,0.000466,A,,0.0977
16,300,300.2930,±,0.6104,Hz,,0.204502,±,0.000497,A,,0.082794,±,0.000466,A,,0.0977
